ip_address,count
84.247.152.175,18251
38.242.132.78,15578
38.242.250.238,13447
82.197.66.172,11741
154.26.159.154,11574
194.233.88.120,11530
194.163.181.120,11450
94.72.107.27,11409
213.199.36.226,11349
154.26.156.96,11291
94.72.107.26,11170
84.247.152.57,11083
154.38.176.182,10953
149.102.131.183,10858
149.102.146.235,10707
194.163.161.169,10445
144.126.146.132,10432
212.28.187.17,10412
89.117.21.247,9931
212.28.187.217,9602
89.117.19.68,9532
154.38.181.43,9465
94.72.107.32,9376
38.242.213.78,9320
154.38.176.177,9283
213.199.36.225,9215
212.28.187.115,9170
154.12.241.9,9051
38.242.193.211,9022
194.163.175.217,8939
194.163.141.248,8884
94.136.185.148,8822
31.220.96.146,8725
194.233.71.161,8388
149.102.144.240,8298
154.38.181.53,8232
94.136.186.95,8212
213.199.36.64,8026
89.117.21.248,7921
94.136.186.6,7259
94.136.186.23,7138
212.28.187.216,6972
154.38.178.79,6858
212.28.187.215,6244
85.190.254.13,5647
62.146.234.43,4323
212.28.187.16,4121
